,_id,l_ID,r_ID,l_name,l_city,l_zipcode,l_review_count,l_latitude,l_longitude,l_rating,l_address,l_zomato_id,l_yelp_id,r_name,r_city,r_zipcode,r_review_count,r_latitude,r_longitude,r_rating,r_address,r_zomato_id,r_yelp_id
3019,3019,a82170,b304,Kangaroo Express,Charlotte,28262,4,35.2943421,-80.7559499,3.0,7747 N Tryon St,0,Z6SE95jGCdiAJkpQ0jqjXg,Toyama Express,Charlotte,28262,560,35.337772,-80.756986,4.7,2130 E Arbors Drive$*$ Charlotte$*$ NC 28262,17148399,0
3161,3161,a115302,b304,Teriyaki Madness,Charlotte,28262,16,35.3402728,-80.7649282,3.5,2700 West Mallard Creek Church Rd$*$ Ste 420,0,SYJq8ydGY9oStzpVuHu3uw,Toyama Express,Charlotte,28262,560,35.337772,-80.756986,4.7,2130 E Arbors Drive$*$ Charlotte$*$ NC 28262,17148399,0
3277,3277,a1510,b378,Tony's Pizza,Huntersville,28078,81,35.357556,-80.868144,4.0,9548 Mt Holly Huntersville Rd,0,fOKeVUHC7nb6c8G5sILdHQ,Tony's Pizza,Charlotte,28078,237,35.357386,-80.868146,4.2,9548 Mount Holly-Huntersville Road$*$ Charlotte$*$ NC 28078,17148387,0
3528,3528,a19525,b376,Barrel Burgers,Huntersville,28078,14,35.44371258,-80.8713528,3.0,9133 Sam Furr Rd,0,XVCWCbVLq8LjDqQBLRoEcg,Bagel Bin,Charlotte,28078,229,35.442068,-80.861476,4.2,Northcross$*$ 9815 Sam Furr Road Suite I$*$ NC 28078,17146715,0
3541,3541,a19605,b378,Domino's Pizza,Huntersville,28078,7,35.408297,-80.860973,4.0,12905 Rosedale Hill Ave,0,qhJ6RP2x6DvEAzZaUP0HWg,Tony's Pizza,Charlotte,28078,237,35.357386,-80.868146,4.2,9548 Mount Holly-Huntersville Road$*$ Charlotte$*$ NC 28078,17148387,0
3556,3556,a19751,b344,Kilwins,Huntersville,28078,44,35.44592444,-80.878584,4.5,16926 Birkdale Commons Pkwy$*$ Ste A,0,ST_MJ4xq1GYSoc3LfgMFnQ,Killingtons,Charlotte,28078,638,35.409011,-80.860859,4.3,10010 Rose Commons Dr$*$ Huntersville$*$ NC 28078,17148631,0
3865,3865,a32446,b378,Rocky's Pizza,Huntersville,28078,69,35.4112378,-80.8559475,4.0,10310 Wilmington Rd,0,xJ94FRxbFwkmpi1hjuWlaw,Tony's Pizza,Charlotte,28078,237,35.357386,-80.868146,4.2,9548 Mount Holly-Huntersville Road$*$ Charlotte$*$ NC 28078,17148387,0
4041,4041,a40475,b326,Mandarin Chinese Restaurant,Huntersville,28078,33,35.3568505,-80.86880474,4.0,9548 Mt Holly Hntrsvlle Rd,0,At3bSltMX8mrBWAHL9s-HA,La Unica Mexican Restaurant,Charlotte,28078,471,35.436652,-80.870662,4.4,16203 Northcross Drive$*$ Huntersville$*$ Charlotte$*$ NC 28078,17149565,0
4051,4051,a40842,b378,Jet's Pizza,Huntersville,28078,33,35.4089724,-80.8630611,4.0,14316 Reese Blvd W,0,3_2H8ecCi3c3Azk8t557tw,Tony's Pizza,Charlotte,28078,237,35.357386,-80.868146,4.2,9548 Mount Holly-Huntersville Road$*$ Charlotte$*$ NC 28078,17148387,0
4129,4129,a41818,b378,Papa John's Pizza,Huntersville,28078,6,35.436211,-80.865706,2.5,16235 Statesville Rd,0,bxsc4cJFKHCBO64k20kCOA,Tony's Pizza,Charlotte,28078,237,35.357386,-80.868146,4.2,9548 Mount Holly-Huntersville Road$*$ Charlotte$*$ NC 28078,17148387,0
4141,4141,a42232,b378,Donatos Pizzeria,Huntersville,28078,4,35.443106,-80.859585,2.5,10109 Northcross Center Ct,0,Fbodyr3N_oJIT90qXdAqGQ,Tony's Pizza,Charlotte,28078,237,35.357386,-80.868146,4.2,9548 Mount Holly-Huntersville Road$*$ Charlotte$*$ NC 28078,17148387,0
4185,4185,a43272,b326,Loco Lime Mexican Grill,Huntersville,28078,21,35.384346,-80.786208,3.0,13016 Eastfield Rd,0,ujUW_oXhTsdPqSTFK1sdZg,La Unica Mexican Restaurant,Charlotte,28078,471,35.436652,-80.870662,4.4,16203 Northcross Drive$*$ Huntersville$*$ Charlotte$*$ NC 28078,17149565,0
4233,4233,a45328,b326,Taxco Mexican Grill,Huntersville,28078,36,35.4437229,-80.8645502,3.5,9719 Sam Furr Rd$*$ Ste E,0,NAkuhaIe02ucJ34_BNvXYw,La Unica Mexican Restaurant,Charlotte,28078,471,35.436652,-80.870662,4.4,16203 Northcross Drive$*$ Huntersville$*$ Charlotte$*$ NC 28078,17149565,0
4527,4527,a51572,b326,Dressler's Restaurant,Huntersville,28078,98,35.446135,-80.879821,4.0,8630-1A Lindholm Dr,0,Aw3YYxmIbt-LTtjrNWouHA,La Unica Mexican Restaurant,Charlotte,28078,471,35.436652,-80.870662,4.4,16203 Northcross Drive$*$ Huntersville$*$ Charlotte$*$ NC 28078,17149565,0
4620,4620,a58949,b376,Bagel Bin,Huntersville,28078,57,35.442525,-80.861123,3.5,9815 Sam Furr Rd$*$ Ste I,0,VVdbPZs0M6d_X5XdgyAhig,Bagel Bin,Charlotte,28078,229,35.442068,-80.861476,4.2,Northcross$*$ 9815 Sam Furr Road Suite I$*$ NC 28078,17146715,0
4777,4777,a66325,b378,Marco's Pizza,Huntersville,28078,26,35.383842,-80.78614,3.5,13024 Eastfield Rd,0,Q4LgYiMBZze8fw6t3kb91Q,Tony's Pizza,Charlotte,28078,237,35.357386,-80.868146,4.2,9548 Mount Holly-Huntersville Road$*$ Charlotte$*$ NC 28078,17148387,0
4800,4800,a68752,b376,Burger King,Huntersville,28078,5,35.442844,-80.866318,2.0,16800 Caldwell Creek Dr,0,_Bt0--KxX5A1uhM0gfIjPQ,Bagel Bin,Charlotte,28078,229,35.442068,-80.861476,4.2,Northcross$*$ 9815 Sam Furr Road Suite I$*$ NC 28078,17146715,0
5067,5067,a83282,b326,Friendly's Family Restaurant,Huntersville,28078,4,35.409145,-80.860164,2.0,14220 Oak Hill Park Ln,0,DFtVgI6KrS6dcWQXXglCgg,La Unica Mexican Restaurant,Charlotte,28078,471,35.436652,-80.870662,4.4,16203 Northcross Drive$*$ Huntersville$*$ Charlotte$*$ NC 28078,17149565,0
5125,5125,a85089,b378,Cici's Pizza,Huntersville,28078,5,35.407291,-80.86335,3.5,14205 Reese Blvd W,0,nyas2dfdi599-Ej_uggd9g,Tony's Pizza,Charlotte,28078,237,35.357386,-80.868146,4.2,9548 Mount Holly-Huntersville Road$*$ Charlotte$*$ NC 28078,17148387,0
5187,5187,a92700,b326,La Unica Mexican Restaurant,Huntersville,28078,90,35.43660607,-80.8706376,3.5,16203 Northcross Dr,0,jR_p2I8h6w5lpf6GWk9Dzg,La Unica Mexican Restaurant,Charlotte,28078,471,35.436652,-80.870662,4.4,16203 Northcross Drive$*$ Huntersville$*$ Charlotte$*$ NC 28078,17149565,0
5226,5226,a97065,b376,Pane e Vino,Huntersville,28078,3,35.384346,-80.786208,1.5,13016 Eastfield Rd.,0,qL7CJ_9G9hi3ZESEHGlvNQ,Bagel Bin,Charlotte,28078,229,35.442068,-80.861476,4.2,Northcross$*$ 9815 Sam Furr Road Suite I$*$ NC 28078,17146715,0
5337,5337,a104781,b326,Huntersville Family Restaurant,Huntersville,28078,28,35.41404,-80.85258,4.0,105 North Statesville Rd$*$ Ste J,0,Cm7PADnhAzW5R2fQPuelEQ,La Unica Mexican Restaurant,Charlotte,28078,471,35.436652,-80.870662,4.4,16203 Northcross Drive$*$ Huntersville$*$ Charlotte$*$ NC 28078,17149565,0
5421,5421,a106035,b326,Antico Italian Restaurant,Huntersville,28078,38,35.4437229,-80.8645502,4.5,9719 Sam Furr Rd$*$ Unit C,0,JsRt9LPgv-7guVcY4u6OQA,La Unica Mexican Restaurant,Charlotte,28078,471,35.436652,-80.870662,4.4,16203 Northcross Drive$*$ Huntersville$*$ Charlotte$*$ NC 28078,17149565,0
5581,5581,a108673,b378,Mama's Pizza Express,Huntersville,28078,46,35.4045977,-80.8413535,4.0,500 S Old Statesville Rd,0,mULK9fWh8kU4_vQYkd9ntA,Tony's Pizza,Charlotte,28078,237,35.357386,-80.868146,4.2,9548 Mount Holly-Huntersville Road$*$ Charlotte$*$ NC 28078,17148387,0
5644,5644,a111882,b344,Williams-Sonoma,Huntersville,28078,9,35.4445382,-80.8810328,3.0,16740 Birkdale Cmns Pkwy,0,J4ARg32Ux73UXz3RPpLaMg,Killingtons,Charlotte,28078,638,35.409011,-80.860859,4.3,10010 Rose Commons Dr$*$ Huntersville$*$ NC 28078,17148631,0
5664,5664,a112293,b376,Black Lion,Huntersville,28078,4,35.44482,-80.861954,4.0,9751 Sam Furr Rd,0,DNowFzgG7emP0ika9U2OkQ,Bagel Bin,Charlotte,28078,229,35.442068,-80.861476,4.2,Northcross$*$ 9815 Sam Furr Road Suite I$*$ NC 28078,17146715,0
6429,6429,a29103,b521,The Henna Place,Glendale,85308,14,33.6420951,-112.2256801,5.0,7700 W Arrowhead Towne Ctr$*$ Ste 1106,0,quNsF2gdqKulu5D6pvZI0w,Mike & Ronda's The Place,Phoenix,85308,357,33.638777,-112.170874,4.3,5171 West Bell Road$*$ Deer Valley$*$ Phoenix$*$ AZ 85308,17027928,0
6882,6882,a52081,b527,Yellowtail Sushi & Steak,Glendale,85308,163,33.6464133,-112.2365732,4.0,18255 N 83rd Ave$*$ Ste B 113,0,XqRY9T8s0JhdehfSmXhCxw,Yen Sushi & Sake Bar,Phoenix,85308,238,33.639965,-112.15165,4.3,17037 North 43rd Avenue #A3$*$ Deer Valley$*$ Phoenix$*$ AZ 85308,17030919,0
6953,6953,a57911,b521,Mike and Ronda's The Place,Glendale,85308,406,33.63867334,-112.1709838,4.0,5171 W Bell Rd,0,fOnpoMXToa5Qiyg95E6ENg,Mike & Ronda's The Place,Phoenix,85308,357,33.638777,-112.170874,4.3,5171 West Bell Road$*$ Deer Valley$*$ Phoenix$*$ AZ 85308,17027928,0
7186,7186,a75661,b527,Yen Sushi & Sake Bar,Phoenix,85308,380,33.640832,-112.151282,4.0,17037 N 43rd Ave,0,LtNgP4FqXp5nMFOHErK8cw,Yen Sushi & Sake Bar,Phoenix,85308,238,33.639965,-112.15165,4.3,17037 North 43rd Avenue #A3$*$ Deer Valley$*$ Phoenix$*$ AZ 85308,17030919,0
7476,7476,a90241,b527,M Sushi Bar,Glendale,85308,60,33.65240487,-112.185529,4.0,18555 N 59th Ave$*$ Ste 124,0,b31CVkPRlnYVjK0RgTAPWA,Yen Sushi & Sake Bar,Phoenix,85308,238,33.639965,-112.15165,4.3,17037 North 43rd Avenue #A3$*$ Deer Valley$*$ Phoenix$*$ AZ 85308,17030919,0
8134,8134,a131209,b527,Sushi Catcher,Glendale,85308,319,33.63921606,-112.1959626,4.0,6334 W Bell Rd,0,gcNC4k7TZJVX_1YHdIkDNQ,Yen Sushi & Sake Bar,Phoenix,85308,238,33.639965,-112.15165,4.3,17037 North 43rd Avenue #A3$*$ Deer Valley$*$ Phoenix$*$ AZ 85308,17030919,0
8446,8446,a15284,b334,Greco Fresh Grille,Charlotte,28277,153,35.0346645,-80.8057671,4.5,9820 E Rea Rd,0,H-PmFfqAzQtWTS0XeWC_lw,Firebirds Wood Fired Grill,Charlotte,28277,1271,35.0620547,-80.815844,4.3,7716 Rea Road$*$ Charlotte$*$ NC 28277,17147236,0
8704,8704,a22465,b334,Firebirds Wood Fired Grill,Charlotte,28277,226,35.0620547,-80.815844,4.0,7716 Rea Rd,0,npWIa3dIPEV1MTaZNq6AUA,Firebirds Wood Fired Grill,Charlotte,28277,1271,35.0620547,-80.815844,4.3,7716 Rea Road$*$ Charlotte$*$ NC 28277,17147236,0
8940,8940,a31300,b366,Cajun Yard Dog,Charlotte,28277,194,35.0971238,-80.78056097,4.0,8036 Providence Rd$*$ Ste 900,0,KbLI0QELlAwbfDUVwo43DQ,Cajun Yard Dog,Charlotte,28277,471,35.098556,-80.778609,4.2,8036 Providence Road$*$ Suite 900$*$ Charlotte$*$ NC 28277,17146864,0
9379,9379,a41637,b374,Zeitouni Grill,Charlotte,28277,178,35.06862,-80.842617,4.0,3419 Toringdon Way$*$ Ste A-124,0,ExtP8z3SVyut_RICc9i_DA,Zeitouni,Charlotte,28277,274,35.068638,-80.842915,4.2,3419 Toringdon Way Suite 124$*$ Charlotte$*$ NC 28277,17150451,0
11074,11074,a102942,b334,Brixx Wood Fired Pizza,Charlotte,28277,64,35.03456151,-80.80586756,3.5,Blakeney Shopping Center$*$ 9820-F Rea Rd,0,Eqd5QGaW7_C-qHNGzs1uUg,Firebirds Wood Fired Grill,Charlotte,28277,1271,35.0620547,-80.815844,4.3,7716 Rea Road$*$ Charlotte$*$ NC 28277,17147236,0
11357,11357,a110655,b356,131 Main,Charlotte,28277,217,35.0340918,-80.8089294,4.0,9886 Rea Rd,0,110iMPMPEEjFlf8HKVq84g,131 Main,Charlotte,28277,594,35.034243,-80.805375,4.2,9886 Rea Road$*$ Charlotte$*$ NC 28277,17148614,0
11578,11578,a114082,b334,Persis Indian Grill,Charlotte,28277,127,35.05610275,-80.85411835,3.5,14027 Conlan Cir$*$ Ste A-1,0,YCq8VGDRHO3JkiyUzQbyIw,Firebirds Wood Fired Grill,Charlotte,28277,1271,35.0620547,-80.815844,4.3,7716 Rea Road$*$ Charlotte$*$ NC 28277,17147236,0
11882,11882,a120276,b390,Ilios Noche,Charlotte,28277,195,35.05321461,-80.77040053,4.0,11508 Providence Rd,0,c-l4nDPZcEwapEiV-Xf08w,Ilios Noche,Charlotte,28277,695,35.054023,-80.769803,4.1,11508 Providence Road$*$ Suite I$*$ Charlotte$*$ NC 28277,17147444,0
12099,12099,a130997,b314,Bad Daddy's Burger Bar,Charlotte,28277,248,35.05277023,-80.84741245,4.0,15105 John J Delaney Dr$*$ Ste A,0,YXa0A7aXV9wWNR0qJVVSDg,Bad Daddy's,Charlotte,28277,865,35.0537776,-80.8467812,4.5,15105 John J Delaney Drive$*$ Charlotte$*$ NC 28277,17149790,0
12473,12473,a6428,b503,Cibo,Phoenix,85003,1457,33.45496,-112.079908,4.5,603 N 5th Ave,0,9a3DrZvpYxVs3k_qwlCNSw,Cibo,Phoenix,85003,1062,33.454891,-112.080035,4.7,603 North 5th Avenue$*$ Downtown$*$ Phoenix$*$ AZ 85003,17025909,0
12726,12726,a70976,b532,Hertz,Phoenix,85003,17,33.6207359,-111.9167904,2.0,14600 N Airport Dr,0,NiOVdse6j_fAuwFbMWE0bQ,Fez,Phoenix,85003,593,33.4596909,-112.0743181,4.2,105 West Portland Street$*$ Midtown$*$ Phoenix$*$ AZ 85003,17026527,0
