ID,name,address,city,zipcode,latitude,longitude,review_count,rating,zomato_id,yelp_id
b1026,Miyako Hibachi$*$ Sushi & Steak House,1025 East-West Connector$*$ Austell$*$ GA 30106,Atlanta,30106,33.8556068,-84.5830294,584,4.6,16906019,0
b1027,Six Feet Under Pub & Fish House,437 Memorial Drive SE$*$ Atlanta$*$ GA 30312,Atlanta,30312,33.7461482,-84.3729504,1726,4.5,16894597,0
b1028,Murphy's,997 Virginia Avenue NE$*$ Virginia-Highland$*$ GA 30306,Atlanta,30306,33.7820473,-84.3547183,1871,4.5,16894848,0
b1029,JCT Kitchen & Bar,1198 Howell Mill Road NW$*$ GA 30318,Atlanta,30318,33.786522,-84.412572,983,4.5,16894562,0
b1030,West Egg Cafe,1100 Howell Mill Road$*$ GA 30318,Atlanta,30318,33.784685,-84.4121,971,4.5,16895030,0
b1031,Farm Burger,410B W Ponce De Leon Avenue$*$ Decatur$*$ GA 30030,Atlanta,30030,33.775302,-84.302837,1135,4.5,16907207,0
b1032,Home Grown,968 Memorial Drive SE$*$ East Atlanta$*$ Atlanta$*$ GA 30316,Atlanta,30316,33.7467546,-84.3559155,424,4.5,16907312,0
b1033,The Porter Beer Bar,1156 Euclid Avenue NE$*$ Little Five Points/Candler Park$*$ Atlanta$*$ GA 30307,Atlanta,30307,33.76534,-84.349827,715,4.5,16902689,0
b1034,Frank's @ The Old Mill,1095 Highway 54 W$*$ Fayetteville$*$ GA 30214,Atlanta,30214,33.4489164,-84.4949527,977,4.5,16909266,0
b1035,Pappadeaux Seafood Kitchen,5635 Jimmy Carter Boulevard$*$ Norcross$*$ GA 30071,Atlanta,30071,33.9133811,-84.2068689,636,4.5,16895071,0
b1036,Hearth Pizza Tavern,5992 Roswell Road NE$*$ Atlanta$*$ GA 30328,Atlanta,30328,33.9185748,-84.3818541,835,4.5,16902748,0
b1037,Desta Ethiopian Kitchen,3086 Briarcliff Road NE$*$ Druid Hills/Emory$*$ GA 30329,Atlanta,30329,33.8379129,-84.310383,419,4.5,16902732,0
b1038,Verde Taqueria,1426 Dresden Drive$*$ Brookhaven$*$ Atlanta$*$ GA 30319,Atlanta,30319,33.8608426,-84.3319507,818,4.5,16906238,0
b1039,Local Republic,225 W CroganSt. Lawrenceville$*$ Georgia$*$ Lawrenceville$*$ GA 30046,Atlanta,30046,33.9559918,-83.9900287,463,4.5,16908079,0
b1040,RosaMia Ristorante Italiano,11730 Jones Bridge Road$*$ Alpharetta$*$ Atlanta$*$ GA 30005,Atlanta,30005,34.0657659,-84.2121579,625,4.5,16902883,0
b1041,Arizona's Steakhouse at Stonecrest,2940 Stonecrest Circle$*$ Lithonia$*$ GA 30038,Atlanta,30038,33.6983391,-84.0895002,1104,4.5,16896135,0
b1042,Taqueria Los Hermanos,4418 Hugh Howell Rd$*$ Tucker$*$ GA 30084,Atlanta,30084,33.851308,-84.207391,517,4.5,16894599,0
b1043,The BeiRut,1025 N Peachtree Pkwy$*$ Peachtree City$*$ GA 30269,Atlanta,30269,33.440843,-84.588989,417,4.5,16907749,0
b1044,Taste Of Thai,2911 Chapel Hill Road Suite 245$*$ Douglasville$*$ GA 30135,Atlanta,30135,33.7261684,-84.7366386,385,4.5,16904243,0
b1045,Stilesboro Biscuits,3545 Stilesboro Road$*$ Kennesaw$*$ GA 30152,Atlanta,30152,33.998141,-84.654605,301,4.5,16907202,0
b1046,The Pie Hole,1025 Canton Street$*$ Roswell$*$ GA 30075,Atlanta,30075,34.026618,-84.3607561,338,4.5,16906929,0
b1047,Bone's Restaurant,3130 Piedmont Road NE$*$ Buckhead$*$ GA 30305,Atlanta,30305,33.8421514,-84.3710145,1355,4.4,16894533,0
b1048,Fat Matt's Rib Shack,1811 Piedmont Avenue NE$*$ Cheshire Bridge$*$ Atlanta$*$ GA 30324,Atlanta,30324,33.804592,-84.367141,1123,4.4,16894724,0
b1049,Flip Burger,1587 Howell Mill Road NW$*$ Atlanta$*$ GA 30318,Atlanta,30318,33.7983734,-84.4157943,2201,4.4,16905753,0
b1050,OK Cafe,1284 West Paces Ferry Road NW$*$ Atlanta$*$ GA 30327,Atlanta,30327,33.8487728,-84.4295037,948,4.4,16895781,0
b1051,Nuevo Laredo Cantina,1495 Chattahoochee Avenue NW$*$ GA 30318,Atlanta,30318,33.8094748,-84.4367464,984,4.4,16894592,0
b1052,Holeman and Finch Public House,2277 Peachtree Road Suite B$*$ GA 30309,Atlanta,30309,33.816032,-84.390138,969,4.4,16902515,0
b1053,Taqueria Del Sol,1200B Howell Mill Road NW$*$ Atlanta$*$ GA 30318,Atlanta,30318,33.7874907,-84.412904,1215,4.4,16894978,0
b1054,La Tavola Trattoria,992 Virginia Avenue NE$*$ Virginia-Highland$*$ Atlanta$*$ GA 30306,Atlanta,30306,33.7824699,-84.354887,604,4.4,16894797,0
b1055,The Salt Factory Pub,952 Canton Street$*$ Roswell$*$ Atlanta$*$ GA 30075,Atlanta,30075,34.0245611,-84.361625,1224,4.4,16902695,0
b1056,Highland Bakery,655 Highland Avenue NE$*$ GA 30312,Atlanta,30312,33.7609783,-84.365742,739,4.4,16894768,0
b1057,Ria's Bluebird,421 Memorial Drive SE$*$ Grant Park$*$ GA 30312,Atlanta,30312,33.7465009,-84.3737385,757,4.4,16894917,0
b1058,Maggiano's Little Italy,3368 Peachtree Road NE$*$ Buckhead$*$ Atlanta$*$ GA 30326,Atlanta,30326,33.8481359,-84.3672901,772,4.4,16896101,0
b1059,Big Shanty Smokehouse,3393 Cherokee Street NW$*$ Kennesaw$*$ GA 30144,Atlanta,30144,34.0357831,-84.6057476,1196,4.4,16902488,0
b1060,Top Spice Thai,3007 N Druid Hills Road NE$*$ Atlanta$*$ GA 30329,Atlanta,30329,33.813676,-84.309025,660,4.4,16895004,0
b1061,Taqueria Del Sol,359 W Ponce De Leon Ave$*$ Decatur$*$ GA 30030,Atlanta,30030,33.7759559,-84.3021179,889,4.4,16895994,0
b1062,Wisteria Restaurant,471 N Highland Avenue NE$*$ Inman Park$*$ Atlanta$*$ GA 30307,Atlanta,30307,33.7667966,-84.3528075,669,4.4,16895032,0
b1063,Hankook Taqueria,1341 Collier Road NW$*$ Atlanta$*$ GA 30318,Atlanta,30318,33.8115451,-84.431616,593,4.4,16906772,0
b1064,Lee's Bakery,4005 Buford Highway NE$*$ Druid Hills/Emory$*$ GA 30345,Atlanta,30345,33.8600194,-84.3087428,311,4.4,16894800,0
b1065,Crawfish Shack Seafood,4337 Buford HighwaySuite 170$*$ Atlanta$*$ GA 30341,Atlanta,30341,33.868125,-84.2999556,578,4.4,16906149,0
b1066,Alon's Bakery and Market,4505 Ashford Dunwoody Rd NE$*$ Atlanta$*$ GA 30346,Atlanta,30346,33.9250211,-84.3361199,499,4.4,16902457,0
b1067,Papi's Cuban & Caribbean Grill,745 Chastain Rd NW$*$ Kennesaw$*$ GA 30144,Atlanta,30144,34.0348245,-84.5707652,700,4.4,16902596,0
b1068,Maru Sushi,4454 S Cobb Drive SE$*$ Smyrna$*$ GA 30080,Atlanta,30080,33.845588,-84.504275,743,4.4,16899694,0
b1069,West Cobb Diner,3451 Barrett Parkway$*$ Marietta$*$ GA 30064,Atlanta,30064,33.9473259,-84.6229649,602,4.4,16906949,0
b1070,AJ's Famous Seafood & Po Boy's,2100 Roswell Rd$*$ Marietta$*$ GA 30062,Atlanta,30062,33.9675305,-84.4877731,513,4.4,16895130,0
b1071,Sakegura Japanese Restaurant,1905 Scenic Hwy N$*$ Suite 1110$*$ Snellville$*$ GA 30078,Atlanta,30078,33.8770641,-84.0140123,329,4.4,16900950,0
b1072,Roy's Cheesesteaks,2900 Highlands Pky SE$*$ Smyrna$*$ GA 30082,Atlanta,30082,33.8278549,-84.4940909,349,4.4,16902493,0
b1073,Brandi's World Famous Hot Dogs,1377 Church Streett Extension NE$*$ Marietta$*$ GA 30060,Atlanta,30060,33.9754935,-84.5537069,410,4.4,16896968,0
b1074,Biscuits & More,3162 Johnson Ferry Road$*$ Marietta$*$ GA 30062,Atlanta,30062,34.0259855,-84.4219852,327,4.3,16896819,0
b1075,Taqueria Los Hermanos,4760 Lawrenceville Hwy NW Ste B-3$*$ Lilburn$*$ GA 30047,Atlanta,30047,33.8956682,-84.1377775,393,4.4,16895995,0
