ID,name,address,city,zipcode,latitude,longitude,review_count,rating,zomato_id,yelp_id,wifi,restaurantsreservations,businessparking,wheelchairaccessible,outdoorseating,is_expensive
18115,Luna's Living Kitchen,2102 South Boulevard$*$ Suite 300$*$ Charlotte$*$ NC 28203,Charlotte,28203,35.20878729,-80.86134276,458,4.286899563,17150072,R1jJQi2yR44D_2ileqr8kA,1,0,1,0,1,0
18923,Bonito Michoacan,3715 S Decatur Boulevard$*$ Las Vegas$*$ NV 89103,Las Vegas,89103,36.1222299,-115.2086359,736,4.138586957,16977626,lOQPeguczAueJnLmDUTfGg,1,1,1,1,0,0
19169,Carnival World & Seafood Buffet,Rio All-Suite Hotel & Casino$*$ 3700 W Flamingo Road,Las Vegas,89103,36.11675637,-115.1872049,637,3.459497645,16977828,KhWl4Mwhm_Oqq0zIIz-0wQ,1,0,1,0,0,1
19576,Nora's Italian Cuisine,6020 W Flamingo Road$*$ Las Vegas$*$ NV 89103,Las Vegas,89103,36.1148146,-115.2218587,1521,4.072057857,16979551,pHJu8tj3sI8eC5aIHLFEfQ,1,1,1,1,0,1
19693,Carnival World Buffet,Rio All-Suite Hotel & Casino$*$ 3700 W Flamingo Road,Las Vegas,89103,36.11679497,-115.1881973,1756,3.630523918,16977828,FLMxWQO-ckCQmGZhU9OQgw,0,0,1,1,0,1
20022,In-N-Out Burger,4888 Dean Martin Drive$*$ Las Vegas$*$ NV 89103,Las Vegas,89103,36.10116425,-115.1824986,1924,4.445322245,16978756,nVAJZ6BJ9PPlxDXn976R6A,0,0,1,1,1,0
23660,Taqueria La Unica,4305 Old Monroe Road$*$ NC 28079,Charlotte,28079,35.0677782,-80.67781055,525,4.5,17149730,57aBx6Mo_VRk_kMA8J5Efg,0,0,1,1,0,1
23845,BreadWorks Bakery,2110 Brighton Rd$*$ Pittsburgh$*$ PA 15212,Pittsburgh,15212,40.461942,-80.0191735,497,4.5,17036048,Uh6EhbFKgQlhVpfvnqsfHA,-1,0,1,0,0,0
23888,Legends of the North Shore Restaurant,500 E North Avenue$*$ Pittsburgh$*$ PA 15212,Pittsburgh,15212,40.45658455,-80.0015089,730,4.258493151,17036766,QeShrs6cUNBjJoTCkJiB0g,1,1,1,1,1,1
24156,Max's Allegheny Tavern,537 Suismon St$*$ Pittsburgh$*$ PA 15212,Pittsburgh,15212,40.4551233,-80.0001055,1159,4.424072476,17036875,_-W_hRQRDEqVdO1WKGa-DQ,0,1,1,1,0,0
24860,Spinato's Pizzeria,5509 North 7th Street$*$ Midtown$*$ Phoenix$*$ AZ 85014,Phoenix,85014,33.51722221,-112.0642477,455,4,17029287,_mg5bYknpZgaWSfjQVmrJQ,0,1,1,0,1,0
25434,Sierra Bonita Grill,6933 North 7th Street$*$ Midtown$*$ Phoenix$*$ AZ 85014,Phoenix,85014,33.5378335,-112.0647555,646,4.052941176,17029205,J5ebC7fKqrSF8KuS8d6hgw,1,1,1,1,0,1
26254,Cherryblossom Noodle Cafe,914 East Camelback Road$*$ Phoenix$*$ AZ 85014,Phoenix,85014,33.50961952,-112.0613573,1133,4.027890556,17025780,fT6Uwl6abRQfiNgxre_qbg,0,1,1,1,0,0
26351,Oregano's Pizza Bistro,1008 E Camelback Rd$*$ Phoenix$*$ AZ 85014,Phoenix,85014,33.50945855,-112.0601687,765,4.045490196,17028233,dUffgo9Lh_Vk9TLuFR5ywg,0,0,1,1,1,0
26617,Luci's Healthy Marketplace & Coffee Bar,1590 East Bethany Home Road$*$ Midtown$*$ Phoenix$*$ AZ 85014,Phoenix,85014,33.52391875,-112.0478861,671,4.036661699,17030810,fjapWp89YVCeKvW51KUDQw,1,0,1,1,1,0
27051,The Fry Bread House,1003 East Indian School Road$*$ Midtown$*$ Phoenix$*$ AZ 85014,Phoenix,85014,33.49441552,-112.0607309,465,4.144946237,17026650,6KJoamvn2_o1UpBaOwy2IQ,0,0,1,0,0,0
27261,Bobby Q,8501 North 27th Avenue$*$ Phoenix$*$ AZ 85051,Phoenix,85051,33.5608414,-112.1162635,2059,4.446090335,17025437,VyVIneSU7XAWgMBllI6LnQ,1,1,1,1,1,1
28687,Archi's Thai Cafe,9350 West Sahara Avenue$*$ Summerlin South$*$ Las Vegas$*$ NV 89117,Las Vegas,89117,36.14589331,-115.2994202,834,4.305035971,16981405,qsJkjQoM3Hdg6Gtqp2S9_w,0,1,1,1,0,0
28967,Sushi Fever,7985 W Sahara Ave Ste 105$*$ Las Vegas$*$ NV 89117,Las Vegas,89117,36.14337272,-115.2648172,578,4.144809689,16980483,GkRF8rSvh9cOQuuPeDh9bg,0,1,1,1,0,0
30774,Mastrioni's,3330 S Hualapai Way$*$ Las Vegas$*$ NV 89117,Las Vegas,89117,36.12921195,-115.3147867,565,4.112920354,16977733,HaPwC4nxs6RPfe1pAQkQ4A,1,1,1,1,0,1
31844,Carson Kitchen,124 S 6th St$*$ Las Vegas$*$ NV 89101,Las Vegas,89101,36.16790766,-115.1405538,1343,4.473641102,16983968,2iTsRqUsPGRH1li1WVRvKQ,1,0,1,1,1,1
32658,Mashiso Asian Grille,24954 Brookpark Rd$*$ North Olmsted$*$ OH 44070,Cleveland,44070,41.4192837,-81.8982632,273,4.153846154,16964914,yBbqFPuwFiaom435KOY4cg,1,0,1,0,0,0
32789,Fat Heads Brewery and Saloon,24581 Lorain Rd$*$ North Olmsted$*$ OH 44070,Cleveland,44070,41.4265518,-81.89422745,1777,4.686268993,16964400,CuT2Xh3vAYvRfxUWlUo6oA,1,0,1,1,1,0
33537,Nuevo Acapulco,24409 Lorain Rd$*$ North Olmsted$*$ OH 44070,Cleveland,44070,41.42713121,-81.89265812,653,4.079938744,16962017,7D-ATDP9Ezr1ZehszsotOQ,0,0,1,1,0,0
34299,Charm Thai Restaurant,7426 Broadview Rd$*$ Parma$*$ OH 44134,Cleveland,44134,41.3641352,-81.68506645,515,4.311456311,16963504,Mgvs9XPJpR2Vo5D4Tb59sA,0,1,1,1,0,0
34304,Kumo Japanese Seafood Buffet,1975 Snow Road$*$ Parma$*$ OH 44134,Cleveland,44134,41.40511915,-81.69328335,467,4.027623126,16964839,pfyH89xsKRasjCp1j9z3vw,0,0,1,0,0,0
34423,In-N-Out Burger,3882 Blue Diamond Road$*$ Las Vegas$*$ NV 89139,Las Vegas,89139,36.03940331,-115.1934886,403,4.157816377,16981248,Kbbm6Vd5UdbP10dwjBghRw,0,0,1,1,1,0
35302,Oyshi Sushi,7775 S Rainbow Blvd Ste 145$*$ Las Vegas$*$ NV 89139,Las Vegas,89139,36.047215,-115.2437965,1452,3.73285124,16981221,Gaq3S9lmjXVcuDCZ8ulppw,0,1,1,1,0,0
35382,Pappadeaux Seafood Kitchen,11501 N Black Canyon Freeway$*$ Sunnyslope/North Mountain$*$ Phoenix$*$ AZ 85029,Phoenix,85029,33.5885555,-112.1161415,1439,4.148158443,17028356,whAwdYVty-jSNRhrYT2zHA,1,1,1,1,1,1
37813,Slice of Vegas,3930 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89119,Las Vegas,89119,36.0916845,-115.173545,640,3.7625,16982662,lKq4Qsz13FDcAVgp49uukQ,1,1,1,1,0,1
39162,Texas de Brazil,6533 S Las Vegas Blvd$*$ Las Vegas$*$ NV 89119,Las Vegas,89119,36.07013535,-115.1753163,1082,4.42948244,16981172,h7s4MRVvB726jWHCHiQ9kw,0,1,1,1,0,1
42058,Yama Sushi,1350 E Flamingo Rd$*$ Las Vegas$*$ NV 89119,Las Vegas,89119,36.11516473,-115.1355218,2025,4.120740741,16980968,ugLqbAvBdRDc-gS4hpslXw,0,0,1,1,0,1
44100,Yard House Town Square,6593 S Las Vegas Boulevard$*$ Las Vegas$*$ NV 89119,Las Vegas,89119,36.06833067,-115.1769323,1537,4.063500325,16980971,A5Rkh7UymKm0_Rxm9K2PJw,1,0,1,1,1,1
46609,Pizza Brutta,1805 Monroe St$*$ Madison$*$ WI 53711,Madison,53711,43.06518185,-89.41642715,561,4.394117647,17503392,kPr9rYEkGwbRLgUHvKljQQ,1,0,1,0,0,0
47007,Brasserie V,1923 Monroe St.$*$ Madison$*$ WI 53711,Madison,53711,43.06407965,-89.4180534,750,4.259733333,17503366,Dcj69NZJnbJhK-YHP_nULA,1,0,1,1,0,1
47524,Mickies Dairy Bar,1511 Monroe St$*$ Madison$*$ WI 53711,Madison,53711,43.0675195,-89.4128601,1055,4.540094787,17502401,uoUa8ugZLrly0bA268IqEg,0,0,1,1,0,0
47936,Lon's - The Hermosa Inn,The Hermosa Inn$*$ 5532 North Palo Cristi Road$*$ Biltmore/Arcadia$*$ Phoenix$*$ AZ 85253,Phoenix,85253,33.5182965,-112.0047665,521,4,17027592,oj8qk3W7O9oq15VIs-vYJQ,1,1,1,1,1,1
48090,Lon's - The Hermosa Inn,The Hermosa Inn$*$ 5532 North Palo Cristi Road$*$ Biltmore/Arcadia$*$ Phoenix$*$ AZ 85253,Phoenix,85253,33.5182965,-112.0047665,258,4.063953488,17027592,f-KUpaw28JfS6_a_Cv9zWQ,1,0,1,0,0,1
49266,Legume Bistro,214 N Craig Street$*$ Pittsburgh$*$ PA 15213,Pittsburgh,15213,40.4503063,-79.95083735,994,4.29084507,17036767,vg55SAkrEmuHpWfIMtJjBQ,0,1,1,1,0,1
49315,Fuel & Fuddle,212 Oakland Ave$*$ Pittsburgh$*$ PA 15213,Pittsburgh,15213,40.4412187,-79.9566323,1124,4.058629893,17036469,ehaoreB8IzKY8KvRGqxcUA,1,1,1,1,1,0
49377,Spice Island Tea House,253 Atwood St$*$ Pittsburgh$*$ PA 15213,Pittsburgh,15213,40.4401522,-79.95617725,1368,4.486403509,17037440,Fpm3WvqtrAg2ueh_4pz7iA,0,0,1,1,0,0
49484,Union Grill,413 S Craig St$*$ Pittsburgh$*$ PA 15213,Pittsburgh,15213,40.44482725,-79.9485033,1015,4.222857143,17037604,e9KXojla4OuVP7qcC5LNsg,0,0,1,1,1,0
49538,Dave & Andy's,207 Atwood St$*$ Pittsburgh$*$ PA 15213,Pittsburgh,15213,40.44100535,-79.95737115,894,4.422035794,17036293,Hz1F5uruPe1kCsf5PIA6Sg,0,0,1,1,0,0
50146,Armstrong's Express,609 Washington Ave$*$ Bridgeville$*$ PA 15017,Pittsburgh,15017,40.357048,-80.112684,404,4.308415842,17037938,j1CRQHz60LoLBgfoS0loqg,0,0,0,0,0,0
50285,Cucina Bella,1200 Pennsylvania Ave$*$ Bridgeville$*$ PA 15017,Pittsburgh,15017,40.34956635,-80.0998157,628,4.181847134,17042274,cKbPGglAjIGG6MeVy7n8XQ,0,1,1,0,1,0
50404,Shouf's Cafe,200 Washington Ave$*$ Bridgeville$*$ PA 15017,Pittsburgh,15017,40.3631097,-80.11037525,470,4.231276596,17037747,X8KLsPEgLe4FuJwRU0tPag,0,1,1,0,1,0
50956,La Grande Orange Grocery,4410 North 40th Street$*$ Biltmore/Arcadia$*$ Phoenix$*$ AZ 85018,Phoenix,85018,33.50192182,-111.9956581,1429,4.257522743,17027423,D3dAx-QW_uuClz4MambeHA,-1,0,1,1,0,0
50957,La Grande Orange Pizzeria,4410 N 40th St$*$ Phoenix$*$ AZ 85018,Phoenix,85018,33.50192182,-111.9956581,1453,4.261527873,17027424,D3dAx-QW_uuClz4MambeHA,-1,0,1,1,0,0
53154,Chelsea's Kitchen,5040 North 40th Street$*$ Biltmore/Arcadia$*$ Phoenix$*$ AZ 85018,Phoenix,85018,33.5112969,-111.9955579,1964,4.19389002,17025770,IsoLzudHC50oJLiEWpwV-w,0,0,1,1,1,1
53260,La Grande Orange Pizzeria,4410 North 40th Street$*$ Biltmore/Arcadia$*$ Phoenix$*$ AZ 85018,Phoenix,85018,33.50179213,-111.9956721,1389,4.5,17027423,7cK9uEV09iPmsTqOqmY3kQ,1,0,1,1,1,0
53261,La Grande Orange Pizzeria,4410 N 40th St$*$ Phoenix$*$ AZ 85018,Phoenix,85018,33.50179213,-111.9956721,1413,4.5,17027424,7cK9uEV09iPmsTqOqmY3kQ,1,0,1,1,1,0
53382,Desert Jade,3215 E Indian School Rd$*$ Phoenix$*$ AZ 85018,Phoenix,85018,33.4949905,-112.012369,417,4.057314149,17026165,tFcmrGLZNEymSnijoTPmqw,0,1,1,1,0,0
53537,Chicago Hamburger Co.,3749 E Indian School Rd$*$ Phoenix$*$ AZ 85018,Phoenix,85018,33.49488375,-112.0005163,513,4,17025788,UCqWJWovgeelP1OUI_L90w,0,0,1,1,1,0
